Time Number_PreyNumber_Predator
0   870   400
1   826   400
2   797   400
3   886   400
4   832   400
5   785   400
6   746   400
7   711   400
8   3450   1584
9   3216   1584
10   3065   1584
11   2939   1584
12   2814   1584
13   2710   1584
14   2602   1584
15   2499   1584
16   3435   1584
17   3227   1584
18   3067   1584
19   2942   1584
20   2808   1584
21   2695   1584
22   2592   1584
23   2510   1584
24   2420   1584
25   2341   1584
26   2267   1584
27   2209   1584
28   2167   1039
29   2137   812
30   2103   936
31   2072   1016
32   2037   1120
33   1995   1195
34   1964   1270
35   1927   1331
36   1890   1363
37   1848   1397
38   1807   1425
39   1775   1425
40   7828   3600
41   7275   3600
42   6898   3600
43   6576   3600
44   6289   3600
45   6049   3600
46   5832   3600
47   5622   3600
48   5432   3600
49   7852   3600
50   7312   3600
51   6938   3600
52   6635   3600
53   6353   3600
54   6115   3600
55   5888   3600
56   5685   3600
57   5476   3600
58   5304   3600
59   5136   3600
60   4986   3600
61   4877   2394
62   4793   1918
63   4727   2145
64   4646   2406
65   4553   2621
66   4457   2837
67   4369   3038
68   4266   3172
69   4186   3271
70   4111   3320
71   4036   3386
72   3955   3427
73   3873   3424
74   3797   3435
75   3728   3458
76   3670   3137
77   3597   2812
78   3535   2539
79   3475   2294
80   3442   2082
81   3403   1905
82   3383   1774
83   3355   1671
84   3317   1592
85   3288   1507
86   3262   1468
87   3240   1427
88   3222   1393
89   3200   1380
90   3183   1343
91   3162   1284
92   3149   1229
93   3127   1156
94   3119   1081
95   3109   1019
96   3097   959
97   3085   860
98   3958   788
99   4745   704
100   5556   631
101   6371   579
102   7179   527
103   7963   487
104   8733   460
105   9546   433
106   10339   403
107   11080   383
108   11840   373
109   12610   350
110   13368   337
111   14095   336
112   14804   337
113   15527   325
114   16233   318
115   16933   303
116   17638   303
117   18285   310
118   18939   316
119   19596   330
120   20202   330
121   20830   336
122   21446   353
123   22055   366
124   22692   371
125   23277   374
126   23872   385
127   24454   395
128   25036   402
129   25584   406
130   26126   414
131   26659   427
132   27190   434
133   27696   442
134   28212   457
135   28693   471
136   29181   484
137   29636   506
138   30113   513
139   30565   528
140   31013   526
141   31427   550
142   31843   564
143   32292   581
144   32638   586
145   33019   611
146   33358   627
